Tweet_count,Username,Text,Created At,Retweets,Likes
1,Rishab Shetty,"ಮಾರ್ಟಿನ್ ಚಿತ್ರ ಬೆಳ್ಳಿಪರದೆಯ ಮೇಲೆ ಅಭೂತಪೂರ್ವ ಯಶಸ್ಸು ಸಾಧಿಸಲಿ. ಶುಭಹಾರೈಕೆಗಳು.

Wishing massive success to @DhruvaSarja and #Martin Team.. 🤩

#MartinOnOct11 https://t.co/5XqXEiXBHK",Fri Oct 11 05:19:55 +0000 2024,320,4399
2,Ⓤನೌನ್_ಮಂದಿ💛❤️,"We are losing our core Kannada audience in the name of pan-Indian movies🙁

Dear filmmakers, stop following #Yash. He &amp; his vision are in a completely different league. The sooner you understand this,the better you will be😊

And free tickets?Seriously?🙄
#MartinTheMovie #Martin https://t.co/RUJo0PzB1Z",Sat Oct 12 07:28:40 +0000 2024,187,1007
3,N𝗮𝗮𝗩𝗲𝗲И,"Watching  :- #MARTIN 

Nobody told me that this is a Zombie film 😭😭😭 https://t.co/sKhNy8Oyf9",Fri Oct 11 17:40:12 +0000 2024,19,175
4,soundsisya,"Keeping trolls aside, let me tell you something,
if you can survive 2 hrs 30 mins inside theater, you can survive anywhere in the world👍🏻
I felt Kabzaa was better compared to this😭
Feel for Lion Hearted Producer💔❤️
#Martin #MartinTheMovie #MartinOnOct11th #darshan #DBossFans https://t.co/5LsmbFaXBj",Fri Oct 11 08:49:45 +0000 2024,75,309
5,𝚌𝚑𝚊𝚗𝚍𝚊𝚗,"Honest #Martin movie review.

#DhruvaSarja https://t.co/3rTEsqeGkb",Sat Oct 12 06:28:21 +0000 2024,374,1843
6,Kunal Mondal Film Producer,"#MartinReview The WORST MOVIE OF THE YEAR ! 

-10 STARS out FIVE !!! #Martin 

Walking away in INTERVAL ! https://t.co/eXlwVL4XBQ",Fri Oct 11 14:39:14 +0000 2024,80,259
7,Tamil memes,"Just watched #Martin, and the hate is completely unwarranted. This movie was awesome! @DhruvaSarja did a killer job, and the twists had me hooked. https://t.co/CVjrTLXaqm",Fri Oct 11 17:22:05 +0000 2024,2,12
8,SSMB29🦁🌍💥,"Tickets booked 🎟️✅ only for @DhruvaSarja 
#Martin #MartinOnOct11th https://t.co/82ZpMINaLt",Thu Oct 10 15:03:51 +0000 2024,28,145
9,Tollymasti,"🫠🫠🫠🫠

#Martin #MartinTheMovie #DhruvaSarja #MartinReview 

Follow us 👉 @tollymasti https://t.co/LRXd1lXWgZ",Fri Oct 11 09:28:01 +0000 2024,113,764
10,Cinema Madness 24*7,#Martin first half surprised me. Trailer chusaka I underestimated the film. Sorry! 0/5 anukunna kani antha galeez ga em ledu. 0.5/5 👍🏻👍🏻 https://t.co/axOHBGw59W,Fri Oct 11 08:18:00 +0000 2024,59,577
11,ಕನ್ನಡ ಡೈನಾಸ್ಟಿ,"Paid nagative reviews etc to #Martin
From #Vettaiyan
???
#KFI 
@KeralaBxOffce https://t.co/YePaLqqCmI",Fri Oct 11 11:50:27 +0000 2024,9,97
12,ಕನ್ನಡ ಡೈನಾಸ್ಟಿ,"#Martin 
Copyright strike on this video!
#KFI https://t.co/9IpPoVgFYv",Sat Oct 12 02:51:40 +0000 2024,16,121
13,CineHub,"The WORST MOVIE OF THE YEAR ! 

-10 STARS out FIVE !!! #Martin 

Walking away in INTERVAL ! https://t.co/JBZc9LV3qv",Fri Oct 11 09:52:49 +0000 2024,141,989
14,Martin,가족 사진 🖤❤️🤍 https://t.co/VHnYfSLKMP,Fri Oct 11 17:37:27 +0000 2024,4173,24675
15,ಕನ್ನಡ ಡೈನಾಸ್ಟಿ,"#Martin 
Mumbai: kannada shows :12, hindi :13
Chennai : kannada :2, Tamil :2
For this they made pan india??
Telugu, hindi, Tamil films get 1000+ shows in bengaluru where as #KFI 
Is hardly getting 15-20 shows 😂
Laughing at the state of #KFI 
They don't have control on thier own https://t.co/j9vKaTa8is",Thu Oct 10 05:22:32 +0000 2024,68,539
16,BFilmy Official,"#Martin - INDUSTRIAL DISASTER ✅

#DhruvaSarja https://t.co/eiauH9gHEd",Fri Oct 11 14:39:24 +0000 2024,25,144
